utterance_id,pair_id,split,tier,frame_pattern_id,domain,intent,vi,en,variant_type,canonical_id,risk_level,semantic_slots,synthetic,field_observed,quality_score,review_status,use_for_training
OV2_000001,P000001,test,core,CORE_A_safety_general_01,safety_general,REQUEST_INSPECTION,Kiểm tra mũ bảo hộ trước khi tiếp tục.,Check the safety helmet before continuing.,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,False
OV2_000002,P000002,train,core,CORE_B_safety_general_01,safety_general,ASK_STATUS,Mũ bảo hộ đã được kiểm tra chưa?,Has the safety helmet been checked?,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000003,P000003,train,core,CORE_C_safety_general_01,safety_general,REPORT_PROBLEM,Có vấn đề với mũ bảo hộ.,There is a problem with the safety helmet.,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000004,P000004,train,core,CORE_D_safety_general_01,safety_general,REQUEST_INSPECTION,Kiểm tra lại mũ bảo hộ sau khi xử lý.,Recheck the safety helmet after corrective action.,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000005,P000005,train,core,CORE_A_safety_general_02,safety_general,REQUEST_INSPECTION,Kiểm tra kính bảo hộ trước khi tiếp tục.,Check the safety glasses before continuing.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000006,P000006,train,core,CORE_B_safety_general_02,safety_general,ASK_STATUS,Kính bảo hộ đã được kiểm tra chưa?,Has the safety glasses been checked?,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000007,P000007,train,core,CORE_C_safety_general_02,safety_general,REPORT_PROBLEM,Có vấn đề với kính bảo hộ.,There is a problem with the safety glasses.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000008,P000008,train,core,CORE_D_safety_general_02,safety_general,REQUEST_INSPECTION,Kiểm tra lại kính bảo hộ sau khi xử lý.,Recheck the safety glasses after corrective action.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000009,P000009,train,core,CORE_A_safety_general_03,safety_general,REQUEST_INSPECTION,Kiểm tra găng tay bảo hộ trước khi tiếp tục.,Check the protective gloves before continuing.,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
OV2_000010,P000010,train,core,CORE_B_safety_general_03,safety_general,ASK_STATUS,Găng tay bảo hộ đã được kiểm tra chưa?,Has the protective gloves been checked?,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
