canonical_id,domain,vi_standard,vi_aliases,en_standard,kind,risk_level,source_support,source_url,synthetic_translation,review_status
C0001,safety_general,mũ bảo hộ,nón bảo hộ,safety helmet,ppe,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0002,safety_general,kính bảo hộ,kính an toàn,safety glasses,ppe,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0003,safety_general,găng tay bảo hộ,găng bảo hộ,protective gloves,ppe,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0004,safety_general,giày bảo hộ,giày mũi thép|giày safety,safety footwear,ppe,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0005,safety_general,áo phản quang,áo hi-vis|áo phản quang,high-visibility vest,ppe,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0006,safety_general,nút dừng khẩn cấp,nút emergency|E-stop,emergency stop button,control,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0007,safety_general,lối thoát hiểm,lối thoát,emergency exit,location,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0008,safety_general,điểm tập kết,điểm tập trung,assembly point,location,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0009,safety_general,bình chữa cháy,bình cứu hỏa,fire extinguisher,equipment,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0010,safety_general,vùng nguy hiểm,khu nguy hiểm,hazard zone,location,critical,domain_scope,https://www.osha.gov/training/outreach/construction/focus-four,True,needs_domain_expert_review
C0011,safety_general,khu vực cấm,vùng cấm,restricted area,location,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0012,safety_general,rào chắn,barie|hàng rào tạm,barricade,protection,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0013,safety_general,biển cảnh báo,biển nguy hiểm,warning sign,protection,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0014,safety_general,giấy phép làm việc,work permit|PTW,permit to work,document,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0015,safety_general,khóa cô lập năng lượng,khóa LOTO,lockout device,protection,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0016,safety_general,thẻ cảnh báo LOTO,thẻ LOTO,tagout tag,protection,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0017,safety_general,sơ cứu,,first aid,process,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0018,safety_general,cáng cứu thương,cáng,stretcher,equipment,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0019,fall_scaffold,dây đai toàn thân,dây an toàn|dây đai an toàn,full-body harness,ppe,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0020,fall_scaffold,dây cứu sinh,dây lifeline,lifeline,protection,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0021,fall_scaffold,móc an toàn,móc dây an toàn,snap hook,component,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0022,fall_scaffold,điểm neo,điểm móc neo,anchorage point,component,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0023,fall_scaffold,lan can bảo vệ,lan can an toàn,guardrail,protection,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0024,fall_scaffold,tấm chắn chân,ván chắn chân,toe board,protection,high,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0025,fall_scaffold,lưới an toàn,lưới hứng,safety net,protection,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0026,fall_scaffold,giàn giáo,dàn giáo,scaffold,structure,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0027,fall_scaffold,sàn công tác,mâm giàn giáo|platform,work platform,structure,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0028,fall_scaffold,thang tiếp cận,thang lên xuống,access ladder,equipment,high,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0029,fall_scaffold,lỗ mở sàn,lỗ sàn,floor opening,hazard,critical,domain_scope,https://www.osha.gov/training/outreach/construction/focus-four,True,needs_domain_expert_review
C0030,fall_scaffold,mép sàn hở,mép hở,unprotected edge,hazard,critical,domain_scope,https://www.osha.gov/training/outreach/construction/focus-four,True,needs_domain_expert_review
C0031,fall_scaffold,mặt bằng làm việc trên cao,khu vực trên cao,elevated work area,location,critical,domain_scope,https://www.osha.gov/training/outreach/construction/focus-four,True,needs_domain_expert_review
C0032,fall_scaffold,thẻ giàn giáo,thẻ scaffold,scaffold tag,document,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0033,fall_scaffold,chân kích giàn giáo,chân kích,scaffold jack,component,high,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0034,fall_scaffold,giằng chéo,giằng chéo giàn giáo,cross brace,component,high,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0035,fall_scaffold,ván sàn giàn giáo,ván sàn,scaffold plank,component,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0036,fall_scaffold,điểm buộc giàn giáo,điểm neo giàn giáo,scaffold tie,component,critical,domain_scope,https://www.osha.gov/scaffolding/construction,True,needs_domain_expert_review
C0037,excavation,hố đào,hố móng,excavation,structure,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0038,excavation,rãnh đào,rãnh,trench,structure,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0039,excavation,mép hố đào,mép hố,excavation edge,location,critical,domain_scope,https://www.osha.gov/etools/construction/trenching/,True,needs_domain_expert_review
C0040,excavation,thành hố đào,thành hố,excavation face,structure,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0041,excavation,chống vách,hệ chống vách,shoring,protection,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0042,excavation,hộp chống sập,trench box|hộp chống hố,trench shield,protection,critical,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
C0043,excavation,taluy bậc,đào giật cấp,benching system,protection,high,domain_scope,https://www.osha.gov/etools/construction/glossary,True,needs_domain_expert_review
