priority,canonical_id,domain,vi_standard,vi_aliases,en_standard,review_question,source_url
P1,C0001,safety_general,mũ bảo hộ,nón bảo hộ,safety helmet,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0002,safety_general,kính bảo hộ,kính an toàn,safety glasses,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0003,safety_general,găng tay bảo hộ,găng bảo hộ,protective gloves,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0004,safety_general,giày bảo hộ,giày mũi thép|giày safety,safety footwear,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0005,safety_general,áo phản quang,áo hi-vis|áo phản quang,high-visibility vest,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0006,safety_general,nút dừng khẩn cấp,nút emergency|E-stop,emergency stop button,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0007,safety_general,lối thoát hiểm,lối thoát,emergency exit,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0008,safety_general,điểm tập kết,điểm tập trung,assembly point,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0009,safety_general,bình chữa cháy,bình cứu hỏa,fire extinguisher,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0010,safety_general,vùng nguy hiểm,khu nguy hiểm,hazard zone,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0011,safety_general,khu vực cấm,vùng cấm,restricted area,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0012,safety_general,rào chắn,barie|hàng rào tạm,barricade,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0013,safety_general,biển cảnh báo,biển nguy hiểm,warning sign,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
