utterance_id,pair_id,split,tier,frame_pattern_id,domain,intent,vi,en,variant_type,canonical_id,risk_level,semantic_slots,synthetic,field_observed,quality_score,review_status,use_for_training
OV2_000002,P000002,train,core,CORE_B_safety_general_01,safety_general,ASK_STATUS,Mũ bảo hộ đã được kiểm tra chưa?,Has the safety helmet been checked?,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000003,P000003,train,core,CORE_C_safety_general_01,safety_general,REPORT_PROBLEM,Có vấn đề với mũ bảo hộ.,There is a problem with the safety helmet.,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000004,P000004,train,core,CORE_D_safety_general_01,safety_general,REQUEST_INSPECTION,Kiểm tra lại mũ bảo hộ sau khi xử lý.,Recheck the safety helmet after corrective action.,core_standard,C0001,high,"{""concept"": ""C0001""}",True,False,0.95,needs_domain_expert_review,True
OV2_000005,P000005,train,core,CORE_A_safety_general_02,safety_general,REQUEST_INSPECTION,Kiểm tra kính bảo hộ trước khi tiếp tục.,Check the safety glasses before continuing.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000006,P000006,train,core,CORE_B_safety_general_02,safety_general,ASK_STATUS,Kính bảo hộ đã được kiểm tra chưa?,Has the safety glasses been checked?,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000007,P000007,train,core,CORE_C_safety_general_02,safety_general,REPORT_PROBLEM,Có vấn đề với kính bảo hộ.,There is a problem with the safety glasses.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000008,P000008,train,core,CORE_D_safety_general_02,safety_general,REQUEST_INSPECTION,Kiểm tra lại kính bảo hộ sau khi xử lý.,Recheck the safety glasses after corrective action.,core_standard,C0002,high,"{""concept"": ""C0002""}",True,False,0.95,needs_domain_expert_review,True
OV2_000009,P000009,train,core,CORE_A_safety_general_03,safety_general,REQUEST_INSPECTION,Kiểm tra găng tay bảo hộ trước khi tiếp tục.,Check the protective gloves before continuing.,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
OV2_000010,P000010,train,core,CORE_B_safety_general_03,safety_general,ASK_STATUS,Găng tay bảo hộ đã được kiểm tra chưa?,Has the protective gloves been checked?,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
OV2_000011,P000011,train,core,CORE_C_safety_general_03,safety_general,REPORT_PROBLEM,Có vấn đề với găng tay bảo hộ.,There is a problem with the protective gloves.,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
OV2_000012,P000012,train,core,CORE_D_safety_general_03,safety_general,REQUEST_INSPECTION,Kiểm tra lại găng tay bảo hộ sau khi xử lý.,Recheck the protective gloves after corrective action.,core_standard,C0003,medium,"{""concept"": ""C0003""}",True,False,0.95,needs_domain_expert_review,True
OV2_000013,P000013,train,core,CORE_A_safety_general_04,safety_general,REQUEST_INSPECTION,Kiểm tra giày bảo hộ trước khi tiếp tục.,Check the safety footwear before continuing.,core_standard,C0004,high,"{""concept"": ""C0004""}",True,False,0.95,needs_domain_expert_review,True
OV2_000014,P000014,train,core,CORE_B_safety_general_04,safety_general,ASK_STATUS,Giày bảo hộ đã được kiểm tra chưa?,Has the safety footwear been checked?,core_standard,C0004,high,"{""concept"": ""C0004""}",True,False,0.95,needs_domain_expert_review,True
OV2_000015,P000015,train,core,CORE_C_safety_general_04,safety_general,REPORT_PROBLEM,Có vấn đề với giày bảo hộ.,There is a problem with the safety footwear.,core_standard,C0004,high,"{""concept"": ""C0004""}",True,False,0.95,needs_domain_expert_review,True
OV2_000016,P000016,train,core,CORE_D_safety_general_04,safety_general,REQUEST_INSPECTION,Kiểm tra lại giày bảo hộ sau khi xử lý.,Recheck the safety footwear after corrective action.,core_standard,C0004,high,"{""concept"": ""C0004""}",True,False,0.95,needs_domain_expert_review,True
OV2_000017,P000017,train,core,CORE_A_safety_general_05,safety_general,REQUEST_INSPECTION,Kiểm tra áo phản quang trước khi tiếp tục.,Check the high-visibility vest before continuing.,core_standard,C0005,high,"{""concept"": ""C0005""}",True,False,0.95,needs_domain_expert_review,True
OV2_000018,P000018,train,core,CORE_B_safety_general_05,safety_general,ASK_STATUS,Áo phản quang đã được kiểm tra chưa?,Has the high-visibility vest been checked?,core_standard,C0005,high,"{""concept"": ""C0005""}",True,False,0.95,needs_domain_expert_review,True
OV2_000020,P000020,train,core,CORE_D_safety_general_05,safety_general,REQUEST_INSPECTION,Kiểm tra lại áo phản quang sau khi xử lý.,Recheck the high-visibility vest after corrective action.,core_standard,C0005,high,"{""concept"": ""C0005""}",True,False,0.95,needs_domain_expert_review,True
OV2_000022,P000022,train,core,CORE_B_safety_general_06,safety_general,ASK_STATUS,Nút dừng khẩn cấp đã được kiểm tra chưa?,Has the emergency stop button been checked?,core_standard,C0006,critical,"{""concept"": ""C0006""}",True,False,0.95,needs_domain_expert_review,True
OV2_000023,P000023,train,core,CORE_C_safety_general_06,safety_general,REPORT_PROBLEM,Có vấn đề với nút dừng khẩn cấp.,There is a problem with the emergency stop button.,core_standard,C0006,critical,"{""concept"": ""C0006""}",True,False,0.95,needs_domain_expert_review,True
OV2_000024,P000024,train,core,CORE_D_safety_general_06,safety_general,REQUEST_INSPECTION,Kiểm tra lại nút dừng khẩn cấp sau khi xử lý.,Recheck the emergency stop button after corrective action.,core_standard,C0006,critical,"{""concept"": ""C0006""}",True,False,0.95,needs_domain_expert_review,True
OV2_000025,P000025,train,core,CORE_A_safety_general_07,safety_general,REQUEST_INSPECTION,Kiểm tra lối thoát hiểm trước khi tiếp tục.,Check the emergency exit before continuing.,core_standard,C0007,critical,"{""concept"": ""C0007""}",True,False,0.95,needs_domain_expert_review,True
OV2_000026,P000026,train,core,CORE_B_safety_general_07,safety_general,ASK_STATUS,Lối thoát hiểm đã được kiểm tra chưa?,Has the emergency exit been checked?,core_standard,C0007,critical,"{""concept"": ""C0007""}",True,False,0.95,needs_domain_expert_review,True
OV2_000027,P000027,train,core,CORE_C_safety_general_07,safety_general,REPORT_PROBLEM,Có vấn đề với lối thoát hiểm.,There is a problem with the emergency exit.,core_standard,C0007,critical,"{""concept"": ""C0007""}",True,False,0.95,needs_domain_expert_review,True
OV2_000028,P000028,train,core,CORE_D_safety_general_07,safety_general,REQUEST_INSPECTION,Kiểm tra lại lối thoát hiểm sau khi xử lý.,Recheck the emergency exit after corrective action.,core_standard,C0007,critical,"{""concept"": ""C0007""}",True,False,0.95,needs_domain_expert_review,True
OV2_000029,P000029,train,core,CORE_A_safety_general_08,safety_general,REQUEST_INSPECTION,Kiểm tra điểm tập kết trước khi tiếp tục.,Check the assembly point before continuing.,core_standard,C0008,high,"{""concept"": ""C0008""}",True,False,0.95,needs_domain_expert_review,True
OV2_000030,P000030,train,core,CORE_B_safety_general_08,safety_general,ASK_STATUS,Điểm tập kết đã được kiểm tra chưa?,Has the assembly point been checked?,core_standard,C0008,high,"{""concept"": ""C0008""}",True,False,0.95,needs_domain_expert_review,True
OV2_000031,P000031,train,core,CORE_C_safety_general_08,safety_general,REPORT_PROBLEM,Có vấn đề với điểm tập kết.,There is a problem with the assembly point.,core_standard,C0008,high,"{""concept"": ""C0008""}",True,False,0.95,needs_domain_expert_review,True
OV2_000032,P000032,train,core,CORE_D_safety_general_08,safety_general,REQUEST_INSPECTION,Kiểm tra lại điểm tập kết sau khi xử lý.,Recheck the assembly point after corrective action.,core_standard,C0008,high,"{""concept"": ""C0008""}",True,False,0.95,needs_domain_expert_review,True
