confusion_id,canonical_text,candidate_asr_text,canonical_id,domain,confusion_type,observed_in_real_data,synthetic,review_status
ASRC2_0001,bạc biên,bạc biển,C0128,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0002,cẩu,cậu,C0073,lifting_rigging,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0003,cốp pha,cốt pha,C0059,concrete_rebar_formwork,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0004,giàn giáo,dàn giáo,C0026,fall_scaffold,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0005,pa lăng,ba lăng,C0079,lifting_rigging,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0006,mặt bích,mặt bít,C0134,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0007,phớt,phốt,C0135,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0008,bu lông,bu lon,C0136,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0009,ê-cu,ecu,C0137,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0010,aptomat,áp tô mát,C0109,electrical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0011,CB,xi bi,C0109,electrical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0012,tiếp địa,tiết địa,C0115,electrical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0013,rơ le,rờ le,C0125,electrical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0014,đầu cos,đầu cốt,C0124,electrical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0015,ma ní,ma ni,C0078,lifting_rigging,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0016,sling,x-ling,C0076,lifting_rigging,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0017,boom,bum,,,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0018,rò nhớt,rò nhất,C0141,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0019,ống bô,ống pô,C0143,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0020,két nước,kết nước,C0142,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0021,dây curoa,dây cua roa,C0129,mechanical,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0022,mối hàn,mỗi hàn,C0148,welding_hotwork,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0023,xỉ hàn,sỉ hàn,C0152,welding_hotwork,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0024,cắt gió đá,cắt gió đó,C0159,welding_hotwork,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0025,rãnh đào,rảnh đào,C0038,excavation,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0026,mép hố,mép hồ,C0039,excavation,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0027,cao độ,cao đổ,C0199,survey_measurement,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0028,tim trục,tim chục,C0200,survey_measurement,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0029,thủy bình,thủy bỉnh,,,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0030,tải treo,tải theo,C0081,lifting_rigging,phonetic_or_orthographic_candidate,False,True,needs_real_asr_validation
ASRC2_0031,mũ bảo hộ,nón bảo hộ,C0001,safety_general,alias_normalization_candidate,False,True,needs_real_asr_validation
ASRC2_0032,kính bảo hộ,kính an toàn,C0002,safety_general,alias_normalization_candidate,False,True,needs_real_asr_validation
