canonical_id,domain,surface_form,surface_type,normalized_vi,synthetic,review_status
C0001,safety_general,mũ bảo hộ,standard,mũ bảo hộ,True,needs_domain_expert_review
C0001,safety_general,nón bảo hộ,alias_or_site_slang,mũ bảo hộ,True,needs_site_review
C0002,safety_general,kính bảo hộ,standard,kính bảo hộ,True,needs_domain_expert_review
C0002,safety_general,kính an toàn,alias_or_site_slang,kính bảo hộ,True,needs_site_review
C0003,safety_general,găng tay bảo hộ,standard,găng tay bảo hộ,True,needs_domain_expert_review
C0003,safety_general,găng bảo hộ,alias_or_site_slang,găng tay bảo hộ,True,needs_site_review
C0004,safety_general,giày bảo hộ,standard,giày bảo hộ,True,needs_domain_expert_review
C0004,safety_general,giày mũi thép,alias_or_site_slang,giày bảo hộ,True,needs_site_review
C0004,safety_general,giày safety,alias_or_site_slang,giày bảo hộ,True,needs_site_review
C0005,safety_general,áo phản quang,standard,áo phản quang,True,needs_domain_expert_review
C0005,safety_general,áo hi-vis,alias_or_site_slang,áo phản quang,True,needs_site_review
C0006,safety_general,nút dừng khẩn cấp,standard,nút dừng khẩn cấp,True,needs_domain_expert_review
C0006,safety_general,nút emergency,alias_or_site_slang,nút dừng khẩn cấp,True,needs_site_review
C0006,safety_general,E-stop,alias_or_site_slang,nút dừng khẩn cấp,True,needs_site_review
C0007,safety_general,lối thoát hiểm,standard,lối thoát hiểm,True,needs_domain_expert_review
C0007,safety_general,lối thoát,alias_or_site_slang,lối thoát hiểm,True,needs_site_review
C0008,safety_general,điểm tập kết,standard,điểm tập kết,True,needs_domain_expert_review
C0008,safety_general,điểm tập trung,alias_or_site_slang,điểm tập kết,True,needs_site_review
C0009,safety_general,bình chữa cháy,standard,bình chữa cháy,True,needs_domain_expert_review
C0009,safety_general,bình cứu hỏa,alias_or_site_slang,bình chữa cháy,True,needs_site_review
C0010,safety_general,vùng nguy hiểm,standard,vùng nguy hiểm,True,needs_domain_expert_review
C0010,safety_general,khu nguy hiểm,alias_or_site_slang,vùng nguy hiểm,True,needs_site_review
C0011,safety_general,khu vực cấm,standard,khu vực cấm,True,needs_domain_expert_review
C0011,safety_general,vùng cấm,alias_or_site_slang,khu vực cấm,True,needs_site_review
